,html,hang,rule_id,string,new,old
0,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,7,1,"	<script src=""js/jQuery-2.1.4.min.js""></script>
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\js\jQuery-2.1.4.min.js,js/jQuery-2.1.4.min.js
1,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,8,1,"  <script src=""bootstrap/js/bootstrap.min.js""></script>
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\bootstrap\js\bootstrap.min.js,bootstrap/js/bootstrap.min.js
2,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,9,1,"  <script src=""js/course.js""></script>
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\js\course.js,js/course.js
3,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,10,1,"  <script src=""js/echartmap/esl.js""></script>
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\js\echartmap\esl.js,js/echartmap/esl.js
4,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,11,1,"  <link rel=""stylesheet"" href=""bootstrap/css/bootstrap.min.css"">
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\bootstrap\css\bootstrap.min.css,bootstrap/css/bootstrap.min.css
5,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,12,1,"  <link rel=""stylesheet"" href=""css/style.css"">
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\css\style.css,css/style.css
6,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,13,1,"  <link rel=""stylesheet"" href=""css/three.css"">
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\css\three.css,css/three.css
7,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,14,1,"  <link rel=""stylesheet"" href=""/font-awesome-4.7.0/css/font-awesome.min.css"">
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\\font-awesome-4.7.0\css\font-awesome.min.css,/font-awesome-4.7.0/css/font-awesome.min.css
8,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,23,1,"                <a href=""index.html"">攻击过程展示</a>
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,index.html
9,F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\index.html,26,1,"                <a href=""page/class/alert1.html"">预警和预防</a>
",F:\beifen\net_beifen_0630\3g.roothan.com\wxb1\static\wxb1\gk\page\class\alert1.html,page/class/alert1.html
